Line #,Key,en Version,ka Translation
110,ka.admin.form.char_length_up_to,length up to,length up to
111,ka.admin.form.char_length_of,length of,length of
112,ka.admin.form.save,Save,Save
113,ka.admin.form.save_and_add_another,Save and add another,Save and add another
114,ka.admin.form.save_and_edit,Save and edit,Save and edit
115,ka.admin.form.all_of_the_following_related_items_will_be_deleted,? The following related items may be deleted or orphaned:,? The following related items may be deleted or orphaned:
116,ka.admin.form.are_you_sure_you_want_to_delete_the_object,Are you sure you want to delete this %{model_name},Are you sure you want to delete this %{model_name}
117,ka.admin.form.confirmation,"Yes, I'm sure","Yes, I'm sure"
118,ka.admin.form.bulk_delete,"The following objects will be deleted, which may delete or orphan some of their related dependencies:","The following objects will be deleted, which may delete or orphan some of their related dependencies:"
119,ka.admin.form.new_model,%{name} (new),%{name} (new)
120,ka.admin.export.confirmation,Export to %{name},Export to %{name}
121,ka.admin.export.select,Select fields to export,Select fields to export
122,ka.admin.export.select_all_fields,Select All Fields,Select All Fields
123,ka.admin.export.fields_from,Fields from %{name},Fields from %{name}
124,ka.admin.export.fields_from_associated,Fields from associated %{name},Fields from associated %{name}
125,ka.admin.export.display,Display %{name}: %{type},Display %{name}: %{type}
126,ka.admin.export.options_for,Options for %{name},Options for %{name}
127,ka.admin.export.empty_value_for_associated_objects,<empty>,<empty>
128,ka.admin.export.click_to_reverse_selection,Click to reverse selection,Click to reverse selection
129,ka.admin.export.csv.header_for_root_methods,%{name},%{name}
130,ka.admin.export.csv.header_for_association_methods,%{name} [%{association}],%{name} [%{association}]
131,ka.admin.export.csv.encoding_to,Encode to,Encode to
132,ka.admin.export.csv.encoding_to_help,Choose output encoding. Leave empty to let current input encoding untouched: (%{name}),Choose output encoding. Leave empty to let current input encoding untouched: (%{name})
133,ka.admin.export.csv.skip_header,No header,No header
134,ka.admin.export.csv.skip_header_help,Do not output a header (no fields description),Do not output a header (no fields description)
135,ka.admin.export.csv.default_col_sep,",",","
136,ka.admin.export.csv.col_sep,Column separator,Column separator
137,ka.admin.export.csv.col_sep_help,Leave blank for default ('%{value}'),Leave blank for default ('%{value}')
138,ka.admin.help.required_for_publication,Required for making public,Required for making public
139,ka.admin.help.soft_delete,"To re-activate a user, delete the date","To re-activate a user, delete the date"
140,ka.admin.help.sort,Drag and drop the items to put them in the order you want them to appear,Drag and drop the items to put them in the order you want them to appear
141,ka.admin.help.move,Drag this item up or down to change the order you want them to appear,Drag this item up or down to change the order you want them to appear
142,ka.admin.help.only_public_items,Only published items are shown in the list,Only published items are shown in the list
143,ka.admin.help.only_active_languages,Only active languages are shown in the list,Only active languages are shown in the list
144,ka.admin.help.missing_annotation_image,"After you load an illustration, the image will appear here.","After you load an illustration, the image will appear here."
145,ka.admin.help.annotation.add,Place marker on image,Place marker on image
146,ka.admin.help.image,"Only jpg, jpeg or png files are allowed. Image must be less than 5MB.","Only jpg, jpeg or png files are allowed. Image must be less than 5MB."
147,ka.admin.help.image_size.highlight,Image should be at least 900x632px.,Image should be at least 900x632px.
148,ka.admin.help.image_size.illustration,"On listing pages, this image will have a size of 400x400px.","On listing pages, this image will have a size of 400x400px."
149,ka.admin.help.image_size.person,"On listing pages, this image will have a size of 400x400px.","On listing pages, this image will have a size of 400x400px."
150,ka.admin.help.image_size.news,"One listing pages, this image will have a size of 438x326px and 400x204px.","One listing pages, this image will have a size of 438x326px and 400x204px."
151,ka.admin.help.image_size.research,"One listing pages, this image will have a size of 438x326px.","One listing pages, this image will have a size of 438x326px."
152,ka.admin.help.image_size.publication,"One listing pages, this image will have a size of 400x204px.","One listing pages, this image will have a size of 400x204px."
153,ka.admin.help.image_size.slideshow,Image should have a width of at least 844px.,Image should have a width of at least 844px.
154,ka.admin.help.file,Only PDF files are allowed. File must be less than 30MB.,Only PDF files are allowed. File must be less than 30MB.
155,ka.admin.help.person,Only published People are shown.,Only published People are shown.
156,ka.admin.help.slideshow_placeholder,"By default the slideshow will appear at the end of this text. If you want it to appear in the text, add the text [slideshow] into the text where you want it to appear.","By default the slideshow will appear at the end of this text. If you want it to appear in the text, add the text [slideshow] into the text where you want it to appear."
157,ka.admin.help.is_illustrator,Illustrators are a special role that requires additional processing and this flag is used to know if the role is an illustrator.,Illustrators are a special role that requires additional processing and this flag is used to know if the role is an illustrator.
158,ka.admin.help.page_content_name,This is just a unique value that can be used to find and show the correct content on a page.,This is just a unique value that can be used to find and show the correct content on a page.
159,ka.admin.help.required,Required,Required
160,ka.admin.help.crop_alignment,The image will be cropped to create the thumbnail for the listing pages. Use this field to indicate what area of the image you want to use for the thumbnail.,The image will be cropped to create the thumbnail for the listing pages. Use this field to indicate what area of the image you want to use for the thumbnail.
161,ka.admin.errors.required_for_publication,is required for making the language public,is required for making the language public
162,ka.admin.errors.required_related_item,is required,is required
