Line #,Key,en Version,ru Translation
307,ru.labels.meta.illustration_count,Images,Images
308,ru.labels.meta.issue_count,Issues,Issues
309,ru.labels.meta.publication_count,Sources,Sources
310,ru.labels.meta.publication_year,Year,Year
311,ru.labels.meta.creation_year,Year,Year
312,ru.labels.meta.editor,Editor,Editor
313,ru.labels.meta.publisher,Publisher,Publisher
314,ru.labels.meta.writer,Writer,Writer
315,ru.labels.meta.year_start,Start,Start
316,ru.labels.meta.year_end,End,End
317,ru.labels.meta.issue_number,Issue,Issue
318,ru.labels.meta.publication_date,Published,Published
319,ru.labels.meta.in_the_news,In The News,In The News
320,ru.labels.meta.journal,Journal,Journal
321,ru.labels.meta.published_in,Published In,Published In
322,ru.labels.meta.date_birth,Born,Born
323,ru.labels.meta.date_death,Died,Died
324,ru.labels.meta.tags,Tags,Tags
325,ru.labels.meta.roles,Roles,Roles
326,ru.labels.meta.people,People,People
327,ru.labels.meta.lived,Lived,Lived
328,ru.messages.no_data,There is no data on record at this time.,There is no data on record at this time.
329,ru.messages.no_issues,There are no issues on record at this time.,There are no issues on record at this time.
330,ru.messages.no_illustrations,There are no images on record at this time.,There are no images on record at this time.
331,ru.navigation_groups.primary,Primary Data,Primary Data
332,ru.navigation_groups.supporting,Supporting Data,Supporting Data
333,ru.navigation_groups.news,News Items,News Items
334,ru.navigation_groups.admin,Admin,Admin
335,ru.meta.site_name,Beyond Caricature,Beyond Caricature
336,ru.meta.sub_title,The Oskar Schmerling Digital Archive,The Oskar Schmerling Digital Archive
337,ru.meta.description,This is a brief description of the site,This is a brief description of the site
338,ru.meta.twitter_site,@schmerling,@schmerling
339,ru.languages.en,English,English
340,ru.languages.ru,Russian,Russian
341,ru.languages.az,Azeri,Azeri
342,ru.languages.ka,Georgian,Georgian
343,ru.languages.hy,Armenian,Armenian
344,ru.status.yes,Yes,Yes
345,ru.status.true,Yes,Yes
346,ru.status.no,No,No
347,ru.status.false,No,No
348,ru.devise.failure.deleted_account,Your account has been deleted and you can no longer login.,Your account has been deleted and you can no longer login.
349,ru.home.index.oskar_alt,Self portrait of Oskar Schmerling holding a whip and wearing horns,Self portrait of Oskar Schmerling holding a whip and wearing horns
350,ru.home.index.scroll,Scroll,Scroll
351,ru.home.about.donors.reed,Reed College,Reed College
352,ru.home.about.donors.nceeer,National Council for Eurasian and East European Research,National Council for Eurasian and East European Research
353,ru.home.about.partners.geo_library,National Parliamentary Library of Georgia,National Parliamentary Library of Georgia
354,ru.home.about.partners.national_archives,National Archives of Georgia,National Archives of Georgia
355,ru.shared.news_item.related_item_explanation,Related Items,Related Items
